sexe;formation;usage_vehicule;type_vehicule;type_conduite;formule;date_demande;points_perdus;Age du vehicule;id_client;Tranche d'âge;Enfants;conduite accompagnee;vehicule rouge;tranche revenus;tranche tarifs_devis;code postal
M;<High School;Commercial;z_SUV;Highly Urban/ Urban;dev_integral;21/01/2022;3;1;4037716;18-29 ans;oui;non;non;inconnu;280-300;62800
M;<High School;Private;Minivan;Highly Urban/ Urban;dev_integral;24/05/2022;1;;5948767;60-69 ans;oui;non;oui;inconnu;300-320;24100
F;<High School;Private;Minivan;z_Highly Rural/ Rural;dev_integral;23/04/2022;4;8;8548813;40-49 ans;oui;non;oui;20000-29999;280-300;93290
F;PhD;Private;z_SUV;Highly Urban/ Urban;dev_express;19/02/2022;0;9;8778939;60-69 ans;non;non;non;120000-129999;260-280;30140
F;z_High School;Private;Minivan;z_Highly Rural/ Rural;dev_express;10/01/2022;0;7;5144153;70-79 ans;non;non;non;30000-39999;280-300;80570
M;Bachelors;Private;Sports Car;Highly Urban/ Urban;dev_premium;26/02/2022;0;13;2381074;Moins de 18 ans;oui;non;non;40000-49999;400-420;12140
F;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_express;03/01/2022;0;10;8958193;30-39 ans;oui;oui;non;inconnu;260-280;64110
M;Masters;Private;Minivan;Highly Urban/ Urban;dev_integral;27/01/2022;0;;6403608;60-69 ans;non;non;oui;inconnu;300-320;46500
M;<High School;Commercial;Panel Truck;z_Highly Rural/ Rural;dev_integral;26/05/2022;2;8;2862685;80 et plus;non;non;non;40000-49999;320-340;94880
F;<High School;Private;Minivan;Highly Urban/ Urban;dev_integral;07/03/2022;3;1;2928826;50-59 ans;oui;non;non;inconnu;320-340;65140
F;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_express;16/04/2022;3;;6182299;50-59 ans;non;non;non;30000-39999;260-280;64300
M;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_express;23/05/2022;3;6;4630537;40-49 ans;oui;non;non;30000-39999;260-280;11150
F;Masters;Private;z_SUV;Highly Urban/ Urban;dev_premium;08/01/2022;0;11;2673618;70-79 ans;oui;non;non;20000-29999;440-460;59700
M;Masters;Private;Minivan;Highly Urban/ Urban;dev_integral;29/05/2022;0;21;6366454;18-29 ans;oui;non;non;70000-79999;320-340;46800
M;z_High School;Private;Minivan;Highly Urban/ Urban;dev_integral;10/01/2022;1;8;1660440;70-79 ans;oui;oui;oui;40000-49999;300-320;18100
F;Masters;Private;Minivan;Highly Urban/ Urban;dev_integral;18/04/2022;0;;1860619;50-59 ans;non;non;non;80000-89999;300-320;48000
M;PhD;Private;Minivan;Highly Urban/ Urban;dev_express;16/01/2022;1;18;3858684;Moins de 18 ans;oui;non;non;150000-159999;260-280;12000
M;z_High School;Commercial;Van;Highly Urban/ Urban;dev_express;02/01/2022;2;7;3531336;70-79 ans;non;non;oui;50000-59999;260-280;39260
M;PhD;Commercial;Van;Highly Urban/ Urban;dev_integral;18/03/2022;3;16;3186610;70-79 ans;non;non;non;130000-139999;320-340;85640
M;Masters;Private;Sports Car;Highly Urban/ Urban;dev_premium;19/01/2022;0;14;5963305;70-79 ans;non;non;non;130000-139999;460-480;41100
M;z_High School;Commercial;z_SUV;Highly Urban/ Urban;dev_integral;06/05/2022;0;11;3911444;Moins de 18 ans;oui;non;non;70000-79999;280-300;03600
F;z_High School;Commercial;z_SUV;Highly Urban/ Urban;dev_express;27/04/2022;3;4;1585920;60-69 ans;oui;non;non;30000-39999;240-260;35620
M;PhD;Private;Minivan;Highly Urban/ Urban;dev_express;16/02/2022;4;19;7717823;Moins de 18 ans;non;non;non;130000-139999;260-280;08000
F;Bachelors;Private;Pickup;Highly Urban/ Urban;dev_integral;06/03/2022;0;14;2488624;80 et plus;non;non;non;inconnu;280-300;71390
M;<High School;Private;z_SUV;z_Highly Rural/ Rural;dev_express;07/01/2022;0;5;9404089;40-49 ans;non;non;non;30000-39999;260-280;15000
M;Masters;Private;Minivan;Highly Urban/ Urban;dev_express;23/02/2022;0;16;2120835;70-79 ans;oui;non;oui;110000-119999;260-280;80230
F;Masters;Private;z_SUV;Highly Urban/ Urban;dev_integral;11/04/2022;0;12;1606514;40-49 ans;oui;oui;non;110000-119999;280-300;15160
F;Masters;Private;Sports Car;Highly Urban/ Urban;dev_integral;16/03/2022;1;15;5223463;30-39 ans;non;non;non;inconnu;300-320;53200
F;z_High School;Commercial;Minivan;Highly Urban/ Urban;dev_express;13/05/2022;2;11;8841516;40-49 ans;non;non;non;inconnu;280-300;72200
M;Bachelors;Commercial;Panel Truck;Highly Urban/ Urban;dev_express;08/01/2022;1;7;7160066;50-59 ans;non;non;oui;110000-119999;260-280;25250
F;PhD;Private;Van;Highly Urban/ Urban;dev_express;13/03/2022;0;3;6229357;70-79 ans;non;non;oui;100000-109999;260-280;68200
M;z_High School;Commercial;Pickup;Highly Urban/ Urban;dev_express;05/01/2022;3;8;5325708;70-79 ans;non;non;oui;30000-39999;260-280;76100
F;z_High School;Commercial;Pickup;Highly Urban/ Urban;dev_premium;17/02/2022;1;8;7270306;40-49 ans;oui;oui;non;70000-79999;420-440;49360
M;Bachelors;Private;z_SUV;z_Highly Rural/ Rural;dev_premium;14/04/2022;0;16;4787932;80 et plus;non;non;non;inconnu;340-360;44700
M;Masters;Private;z_SUV;Highly Urban/ Urban;dev_express;10/02/2022;2;10;6831517;80 et plus;non;non;non;inconnu;240-260;11100
M;Bachelors;Commercial;Minivan;z_Highly Rural/ Rural;dev_integral;17/04/2022;0;9;1034025;70-79 ans;oui;oui;non;80000-89999;280-300;43110
F;z_High School;Commercial;Sports Car;Highly Urban/ Urban;dev_integral;15/02/2022;7;1;3585484;Moins de 18 ans;non;non;non;inconnu;320-340;81290
M;Masters;Commercial;Panel Truck;Highly Urban/ Urban;dev_integral;07/04/2022;0;5;5893383;Moins de 18 ans;non;non;non;130000-139999;300-320;09100
M;<High School;Private;z_SUV;Highly Urban/ Urban;dev_express;11/01/2022;8;5;6548867;80 et plus;oui;non;non;inconnu;260-280;46130
M;PhD;Commercial;Panel Truck;Highly Urban/ Urban;dev_express;29/01/2022;0;16;2745172;60-69 ans;non;non;non;250000-259999;280-300;54740
M;PhD;Commercial;Panel Truck;Highly Urban/ Urban;dev_express;27/01/2022;5;19;1450200;60-69 ans;non;non;oui;210000-219999;260-280;14440
F;z_High School;Private;Minivan;Highly Urban/ Urban;dev_integral;09/04/2022;0;7;2617459;Moins de 18 ans;oui;non;non;50000-59999;280-300;52400
F;z_High School;Commercial;z_SUV;Highly Urban/ Urban;dev_integral;04/02/2022;0;8;4863275;18-29 ans;oui;non;non;70000-79999;280-300;32190
M;z_High School;Private;Minivan;Highly Urban/ Urban;dev_premium;13/04/2022;2;9;4689975;Moins de 18 ans;oui;non;non;70000-79999;340-360;25800
M;PhD;Commercial;Van;Highly Urban/ Urban;dev_premium;01/03/2022;1;14;7299576;40-49 ans;non;non;oui;inconnu;380-400;29630
F;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_premium;13/02/2022;0;1;3805350;60-69 ans;non;non;non;inconnu;340-360;20000
M;<High School;Commercial;Van;Highly Urban/ Urban;dev_integral;27/03/2022;2;1;7924704;60-69 ans;oui;non;oui;30000-39999;320-340;51400
M;Bachelors;Private;Sports Car;Highly Urban/ Urban;dev_express;26/03/2022;0;14;8563973;50-59 ans;non;non;non;100000-109999;240-260;83110
F;Masters;Private;Pickup;Highly Urban/ Urban;dev_premium;05/04/2022;0;;3277794;80 et plus;non;non;non;90000-99999;400-420;74240
F;Bachelors;Private;z_SUV;z_Highly Rural/ Rural;dev_premium;23/01/2022;2;16;1973102;Moins de 18 ans;non;non;non;0-9999;480-500;18240
M;Masters;Commercial;Pickup;Highly Urban/ Urban;dev_integral;14/02/2022;0;16;2893647;70-79 ans;non;non;non;80000-89999;280-300;88220
F;Masters;Private;Pickup;Highly Urban/ Urban;dev_express;31/03/2022;0;;8789818;50-59 ans;non;non;non;30000-39999;260-280;24000
M;<High School;Private;Pickup;Highly Urban/ Urban;dev_integral;11/05/2022;1;1;2978184;50-59 ans;non;non;non;inconnu;320-340;17700
F;<High School;Private;z_SUV;Highly Urban/ Urban;dev_integral;24/03/2022;7;1;1020213;40-49 ans;oui;non;non;inconnu;320-340;21120
M;z_High School;Private;Pickup;Highly Urban/ Urban;dev_express;29/03/2022;6;1;7742629;70-79 ans;non;non;non;0-9999;260-280;85770
F;<High School;Commercial;Panel Truck;Highly Urban/ Urban;dev_integral;02/01/2022;0;1;2327611;30-39 ans;oui;non;oui;inconnu;300-320;59240
M;z_High School;Commercial;Pickup;Highly Urban/ Urban;dev_integral;29/05/2022;5;1;6802086;70-79 ans;oui;oui;oui;30000-39999;320-340;16440
M;Masters;Private;Van;Highly Urban/ Urban;dev_integral;18/04/2022;11;16;5017827;18-29 ans;non;non;non;90000-99999;320-340;23600
M;z_High School;Private;Minivan;z_Highly Rural/ Rural;dev_integral;17/04/2022;2;1;6516492;60-69 ans;non;non;non;10000-19999;300-320;73200
M;Bachelors;Commercial;Minivan;Highly Urban/ Urban;dev_integral;08/03/2022;6;7;2409349;80 et plus;non;non;oui;80000-89999;320-340;81200
F;Masters;Private;Sports Car;Highly Urban/ Urban;dev_express;28/04/2022;0;12;1708161;80 et plus;non;non;non;80000-89999;260-280;41600
M;Bachelors;Commercial;z_SUV;z_Highly Rural/ Rural;dev_premium;05/04/2022;1;7;8852597;40-49 ans;non;non;non;80000-89999;460-480;19600
F;z_High School;Private;Minivan;Highly Urban/ Urban;dev_integral;09/04/2022;2;1;7535333;60-69 ans;non;non;non;60000-69999;300-320;87000
F;Masters;Commercial;Panel Truck;Highly Urban/ Urban;dev_express;06/05/2022;6;18;9002034;60-69 ans;non;non;non;100000-109999;260-280;49000
F;Bachelors;Private;z_SUV;z_Highly Rural/ Rural;dev_integral;29/04/2022;4;11;2165210;70-79 ans;oui;oui;non;40000-49999;320-340;33610
F;z_High School;Commercial;z_SUV;Highly Urban/ Urban;dev_express;03/01/2022;3;1;6421646;50-59 ans;non;non;non;30000-39999;260-280;18100
M;Bachelors;Commercial;Panel Truck;z_Highly Rural/ Rural;dev_vip;09/05/2022;1;4;2152234;18-29 ans;non;non;oui;60000-69999;980-1000;83210
F;Bachelors;Commercial;Pickup;Highly Urban/ Urban;dev_integral;22/01/2022;0;17;9213188;80 et plus;non;non;oui;inconnu;280-300;08700
F;PhD;Private;Minivan;Highly Urban/ Urban;dev_express;29/04/2022;0;15;5042268;Moins de 18 ans;non;non;non;30000-39999;240-260;11400
F;z_High School;Commercial;Panel Truck;Highly Urban/ Urban;dev_integral;24/02/2022;5;;1879742;70-79 ans;non;non;oui;50000-59999;300-320;13104
F;z_High School;Commercial;Pickup;Highly Urban/ Urban;dev_express;01/04/2022;0;1;2780912;50-59 ans;non;non;oui;inconnu;260-280;44390
F;Bachelors;Commercial;Pickup;Highly Urban/ Urban;dev_express;12/02/2022;3;13;4949508;80 et plus;non;non;non;80000-89999;240-260;55300
F;z_High School;Private;Van;Highly Urban/ Urban;dev_integral;19/04/2022;0;12;7485607;60-69 ans;oui;non;oui;40000-49999;300-320;34290
M;z_High School;Commercial;z_SUV;Highly Urban/ Urban;dev_premium;06/02/2022;2;6;9196351;80 et plus;oui;non;non;0-9999;400-420;63910
F;Bachelors;Private;Sports Car;Highly Urban/ Urban;dev_integral;07/01/2022;0;9;8292617;60-69 ans;oui;non;non;0-9999;280-300;85360
F;z_High School;Commercial;Pickup;Highly Urban/ Urban;dev_premium;19/03/2022;0;1;2052305;30-39 ans;non;non;oui;inconnu;360-380;46400
F;PhD;Private;Pickup;Highly Urban/ Urban;dev_integral;10/03/2022;0;;8677464;70-79 ans;non;non;non;inconnu;300-320;69190
F;Masters;Commercial;Pickup;Highly Urban/ Urban;dev_integral;08/05/2022;0;19;9296568;50-59 ans;non;non;oui;30000-39999;320-340;59440
F;Bachelors;Commercial;z_SUV;Highly Urban/ Urban;dev_express;09/03/2022;0;7;7410870;80 et plus;oui;non;non;50000-59999;260-280;47320
M;PhD;Private;z_SUV;Highly Urban/ Urban;dev_express;20/04/2022;2;15;6787549;70-79 ans;non;non;non;0-9999;260-280;39120
F;z_High School;Commercial;Pickup;Highly Urban/ Urban;dev_integral;05/04/2022;3;1;5906742;80 et plus;non;non;oui;100000-109999;300-320;33000
M;Masters;Private;z_SUV;Highly Urban/ Urban;dev_integral;20/05/2022;4;9;1890382;50-59 ans;oui;non;non;80000-89999;280-300;93250
M;<High School;Private;z_SUV;Highly Urban/ Urban;dev_integral;03/03/2022;1;6;6175100;60-69 ans;oui;non;non;0-9999;280-300;55310
F;<High School;Private;z_SUV;Highly Urban/ Urban;dev_express;12/03/2022;2;1;5408255;70-79 ans;oui;oui;non;10000-19999;260-280;62700
F;Masters;Private;Sports Car;Highly Urban/ Urban;dev_express;06/01/2022;0;12;7861290;80 et plus;oui;non;non;60000-69999;240-260;44160
M;<High School;Commercial;Pickup;Highly Urban/ Urban;dev_express;17/01/2022;7;4;1606275;18-29 ans;non;non;oui;inconnu;260-280;82130
F;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_integral;04/03/2022;1;8;5535088;80 et plus;oui;non;non;10000-19999;300-320;92220
F;Masters;Private;z_SUV;Highly Urban/ Urban;dev_premium;28/02/2022;0;20;5031534;50-59 ans;non;non;non;140000-149999;480-500;46100
M;Bachelors;Commercial;Van;Highly Urban/ Urban;dev_express;22/03/2022;0;4;6105932;40-49 ans;non;non;non;60000-69999;240-260;17220
F;z_High School;Commercial;Minivan;Highly Urban/ Urban;dev_express;09/05/2022;0;10;1464678;18-29 ans;oui;non;non;40000-49999;260-280;94240
F;PhD;Commercial;Pickup;Highly Urban/ Urban;dev_integral;11/03/2022;0;;6870667;30-39 ans;non;non;non;90000-99999;280-300;41500
F;z_High School;Commercial;Van;Highly Urban/ Urban;dev_integral;19/02/2022;5;1;5398839;50-59 ans;non;non;oui;70000-79999;300-320;56600
F;Bachelors;Private;Sports Car;Highly Urban/ Urban;dev_premium;28/04/2022;2;8;5691540;30-39 ans;oui;non;non;inconnu;460-480;71000
M;Masters;Private;Pickup;Highly Urban/ Urban;dev_integral;01/03/2022;0;1;2288262;18-29 ans;non;non;oui;160000-169999;280-300;39300
M;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_integral;17/01/2022;1;1;8658257;30-39 ans;oui;oui;oui;90000-99999;280-300;05000
M;Bachelors;Private;Sports Car;Highly Urban/ Urban;dev_express;14/04/2022;1;5;4405227;40-49 ans;non;non;non;70000-79999;260-280;03460
M;Bachelors;Commercial;Panel Truck;Highly Urban/ Urban;dev_express;17/02/2022;0;12;6097379;30-39 ans;non;non;non;80000-89999;240-260;82000
F;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_integral;19/04/2022;2;11;6775120;60-69 ans;non;non;non;50000-59999;280-300;06530
M;<High School;Commercial;Pickup;z_Highly Rural/ Rural;dev_integral;18/05/2022;0;5;2011810;70-79 ans;oui;oui;non;10000-19999;280-300;91540
M;Bachelors;Commercial;Pickup;z_Highly Rural/ Rural;dev_express;13/03/2022;1;12;9366355;80 et plus;non;non;oui;60000-69999;280-300;89100
F;Masters;Commercial;Van;Highly Urban/ Urban;dev_express;11/05/2022;0;;7542186;Moins de 18 ans;oui;oui;oui;200000-209999;280-300;95000
F;Masters;Commercial;Panel Truck;Highly Urban/ Urban;dev_premium;11/01/2022;1;;7254575;Moins de 18 ans;non;non;non;90000-99999;440-460;89320
F;<High School;Private;z_SUV;Highly Urban/ Urban;dev_integral;09/05/2022;2;6;7999787;18-29 ans;non;non;non;20000-29999;320-340;31220
F;<High School;Commercial;Minivan;Highly Urban/ Urban;dev_integral;04/01/2022;6;1;4935720;50-59 ans;oui;oui;non;10000-19999;320-340;19100
F;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_express;30/05/2022;7;6;6840814;50-59 ans;oui;non;non;10000-19999;240-260;13003
M;<High School;Private;Minivan;Highly Urban/ Urban;dev_express;06/03/2022;1;9;2525445;18-29 ans;non;non;oui;90000-99999;240-260;75019
M;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_premium;19/01/2022;7;4;6451219;18-29 ans;oui;non;non;30000-39999;480-500;60160
F;Masters;Private;Pickup;Highly Urban/ Urban;dev_integral;20/04/2022;2;9;9640885;Moins de 18 ans;oui;non;non;50000-59999;320-340;84200
M;<High School;Private;z_SUV;Highly Urban/ Urban;dev_express;24/05/2022;1;1;2558407;50-59 ans;non;non;non;inconnu;260-280;95140
F;<High School;Private;z_SUV;Highly Urban/ Urban;dev_express;26/03/2022;8;1;8476633;18-29 ans;oui;non;non;inconnu;260-280;50690
F;<High School;Private;z_SUV;Highly Urban/ Urban;dev_integral;23/03/2022;1;8;6369679;70-79 ans;non;non;non;10000-19999;300-320;53240
M;Masters;Commercial;Panel Truck;Highly Urban/ Urban;dev_integral;12/04/2022;0;18;3462909;18-29 ans;non;non;oui;100000-109999;280-300;08170
M;PhD;Private;Minivan;Highly Urban/ Urban;dev_integral;15/04/2022;0;11;6822835;30-39 ans;non;non;non;150000-159999;300-320;47210
F;z_High School;Commercial;Pickup;Highly Urban/ Urban;dev_express;20/04/2022;1;6;5594025;70-79 ans;non;non;oui;50000-59999;240-260;77440
F;<High School;Private;z_SUV;z_Highly Rural/ Rural;dev_integral;02/05/2022;0;1;2951541;70-79 ans;non;non;non;20000-29999;300-320;26300
F;z_High School;Private;Van;Highly Urban/ Urban;dev_express;21/05/2022;6;1;1000357;60-69 ans;oui;non;oui;10000-19999;260-280;04000
F;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_express;01/03/2022;0;;6156199;18-29 ans;oui;non;non;60000-69999;280-300;12120
F;Masters;Private;Minivan;Highly Urban/ Urban;dev_premium;10/05/2022;3;7;8618245;50-59 ans;oui;oui;non;60000-69999;460-480;61100
F;Masters;Private;Sports Car;Highly Urban/ Urban;dev_integral;06/03/2022;1;10;9281076;70-79 ans;non;non;non;100000-109999;300-320;75016
F;<High School;Private;Minivan;z_Highly Rural/ Rural;dev_integral;26/05/2022;0;1;2594127;Moins de 18 ans;non;non;non;10000-19999;280-300;88220
F;<High School;Private;Sports Car;Highly Urban/ Urban;dev_integral;25/04/2022;1;1;1760102;18-29 ans;oui;oui;non;20000-29999;280-300;31000
M;z_High School;Commercial;z_SUV;z_Highly Rural/ Rural;dev_premium;29/05/2022;0;1;4203640;60-69 ans;non;non;non;30000-39999;320-340;08200
M;z_High School;Private;Sports Car;Highly Urban/ Urban;dev_express;03/02/2022;5;10;8463904;Moins de 18 ans;oui;non;non;30000-39999;260-280;82100
M;z_High School;Commercial;Minivan;Highly Urban/ Urban;dev_express;16/05/2022;0;8;6739494;18-29 ans;oui;non;non;30000-39999;260-280;11000
F;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_express;15/05/2022;1;10;8701222;60-69 ans;oui;oui;non;60000-69999;260-280;54620
M;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_express;28/05/2022;2;6;9716507;70-79 ans;oui;non;non;60000-69999;260-280;86000
F;z_High School;Commercial;Pickup;z_Highly Rural/ Rural;dev_integral;27/03/2022;2;11;2131744;70-79 ans;non;non;oui;10000-19999;280-300;19100
M;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_integral;03/02/2022;4;1;5349747;50-59 ans;non;non;non;30000-39999;320-340;02100
F;Masters;Commercial;Panel Truck;Highly Urban/ Urban;dev_premium;06/05/2022;4;8;2192480;Moins de 18 ans;non;non;oui;110000-119999;520-540;18190
F;<High School;Private;Minivan;z_Highly Rural/ Rural;dev_premium;12/05/2022;3;;1818908;18-29 ans;non;non;non;20000-29999;380-400;52100
F;Bachelors;Commercial;Van;Highly Urban/ Urban;dev_integral;15/01/2022;1;13;7137314;70-79 ans;non;non;oui;80000-89999;280-300;58000
M;<High School;Commercial;Pickup;Highly Urban/ Urban;dev_integral;24/01/2022;1;1;5815919;Moins de 18 ans;oui;oui;oui;10000-19999;320-340;73100
M;PhD;Private;Pickup;Highly Urban/ Urban;dev_integral;17/03/2022;0;19;6732804;50-59 ans;non;non;non;170000-179999;320-340;54190
M;PhD;Private;z_SUV;z_Highly Rural/ Rural;dev_integral;29/03/2022;1;9;1003185;80 et plus;non;non;non;inconnu;300-320;78570
M;Masters;Private;Pickup;Highly Urban/ Urban;dev_express;10/05/2022;0;;6245183;18-29 ans;non;non;oui;60000-69999;260-280;13013
F;PhD;Private;Minivan;Highly Urban/ Urban;dev_express;14/03/2022;0;15;9857281;60-69 ans;non;non;non;110000-119999;260-280;24100
F;z_High School;Private;Pickup;z_Highly Rural/ Rural;dev_premium;31/05/2022;0;10;6147177;70-79 ans;non;non;non;30000-39999;520-540;16200
F;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_integral;10/05/2022;0;7;3881951;Moins de 18 ans;non;non;non;140000-149999;320-340;54300
F;z_High School;Commercial;Pickup;Highly Urban/ Urban;dev_express;14/05/2022;0;1;7728707;60-69 ans;oui;non;non;30000-39999;240-260;27300
F;Bachelors;Commercial;Van;Highly Urban/ Urban;dev_express;07/05/2022;2;12;3597119;80 et plus;non;non;non;110000-119999;240-260;82170
F;<High School;Private;Pickup;z_Highly Rural/ Rural;dev_integral;17/05/2022;1;1;6784520;50-59 ans;non;non;oui;50000-59999;320-340;57950
M;z_High School;Commercial;Minivan;Highly Urban/ Urban;dev_integral;17/03/2022;0;8;9426174;50-59 ans;non;non;oui;0-9999;280-300;44190
F;PhD;Commercial;Van;Highly Urban/ Urban;dev_premium;15/03/2022;3;10;2381605;40-49 ans;non;non;oui;140000-149999;420-440;49000
F;PhD;Private;Minivan;Highly Urban/ Urban;dev_express;30/03/2022;0;13;2311510;50-59 ans;non;non;non;140000-149999;260-280;28310
F;<High School;Private;z_SUV;Highly Urban/ Urban;dev_express;21/01/2022;0;1;7946636;60-69 ans;non;non;non;70000-79999;260-280;43100
M;z_High School;Commercial;z_SUV;Highly Urban/ Urban;dev_express;18/01/2022;2;1;9894763;60-69 ans;oui;non;non;0-9999;240-260;04100
F;Bachelors;Commercial;Minivan;Highly Urban/ Urban;dev_integral;19/04/2022;1;17;1644304;18-29 ans;non;non;oui;0-9999;280-300;58260
M;z_High School;Commercial;Pickup;z_Highly Rural/ Rural;dev_premium;18/05/2022;0;7;6590930;50-59 ans;non;non;oui;30000-39999;360-380;24340
M;Masters;Private;Minivan;Highly Urban/ Urban;dev_express;04/04/2022;0;21;2020068;50-59 ans;non;non;non;70000-79999;260-280;83120
M;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_integral;25/03/2022;0;8;3629632;50-59 ans;oui;non;oui;130000-139999;300-320;62144
F;Bachelors;Commercial;Minivan;Highly Urban/ Urban;dev_integral;23/03/2022;7;1;9053284;60-69 ans;oui;non;non;70000-79999;280-300;47300
F;Masters;Commercial;Panel Truck;Highly Urban/ Urban;dev_express;25/03/2022;0;11;4671190;30-39 ans;non;non;oui;100000-109999;260-280;70310
M;PhD;Private;Minivan;Highly Urban/ Urban;dev_integral;23/02/2022;0;22;3723367;30-39 ans;non;non;oui;inconnu;320-340;60170
F;Bachelors;Commercial;z_SUV;Highly Urban/ Urban;dev_premium;08/04/2022;4;10;2803003;80 et plus;non;non;non;120000-129999;500-520;29810
M;Masters;Private;Minivan;Highly Urban/ Urban;dev_integral;25/02/2022;0;;6312577;70-79 ans;non;non;non;40000-49999;320-340;43700
F;<High School;Private;z_SUV;Highly Urban/ Urban;dev_integral;07/02/2022;2;8;1319383;60-69 ans;non;non;non;30000-39999;280-300;36290
M;<High School;Commercial;Minivan;z_Highly Rural/ Rural;dev_integral;01/04/2022;0;4;5035421;Moins de 18 ans;oui;oui;non;inconnu;300-320;38350
M;PhD;Private;Minivan;Highly Urban/ Urban;dev_express;25/05/2022;3;;2480278;18-29 ans;non;non;non;100000-109999;260-280;45200
F;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_express;21/04/2022;5;7;1519678;80 et plus;non;non;non;20000-29999;260-280;11000
F;<High School;Private;Minivan;Highly Urban/ Urban;dev_premium;31/05/2022;0;1;4379565;60-69 ans;non;non;oui;20000-29999;340-360;82600
M;z_High School;Commercial;Pickup;Highly Urban/ Urban;dev_express;19/02/2022;0;1;6783091;30-39 ans;non;non;non;inconnu;260-280;65000
F;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_integral;23/05/2022;9;6;9030894;60-69 ans;oui;oui;non;40000-49999;320-340;29860
M;Bachelors;Commercial;Pickup;z_Highly Rural/ Rural;dev_integral;24/02/2022;0;4;7868104;80 et plus;oui;non;non;80000-89999;320-340;07330
M;Bachelors;Private;Sports Car;Highly Urban/ Urban;dev_express;28/05/2022;0;;1920208;80 et plus;oui;non;non;50000-59999;260-280;07400
F;Masters;Private;Minivan;Highly Urban/ Urban;dev_express;18/05/2022;0;9;4814429;70-79 ans;non;non;non;30000-39999;240-260;08000
M;z_High School;Commercial;Panel Truck;Highly Urban/ Urban;dev_express;12/03/2022;4;1;8194450;50-59 ans;oui;non;oui;30000-39999;280-300;01630
M;z_High School;Commercial;Pickup;z_Highly Rural/ Rural;dev_express;06/03/2022;2;8;8658623;50-59 ans;oui;oui;oui;50000-59999;260-280;09700
M;z_High School;Commercial;Pickup;Highly Urban/ Urban;dev_express;04/03/2022;3;1;9062033;80 et plus;non;non;oui;inconnu;280-300;47410
M;Bachelors;Commercial;Pickup;z_Highly Rural/ Rural;dev_premium;10/05/2022;2;13;8426806;70-79 ans;oui;non;oui;40000-49999;380-400;34000
M;Bachelors;Private;Pickup;Highly Urban/ Urban;dev_express;08/04/2022;3;9;5573545;40-49 ans;oui;non;oui;inconnu;280-300;70210
F;z_High School;Commercial;z_SUV;Highly Urban/ Urban;dev_express;20/01/2022;1;1;9750144;60-69 ans;non;non;non;50000-59999;260-280;67670
F;Bachelors;Private;Minivan;z_Highly Rural/ Rural;dev_express;06/01/2022;2;;3405825;60-69 ans;oui;non;oui;inconnu;240-260;15600
F;z_High School;Private;Sports Car;z_Highly Rural/ Rural;dev_integral;07/01/2022;2;8;7368963;30-39 ans;oui;non;non;inconnu;280-300;62200
F;<High School;Private;Pickup;Highly Urban/ Urban;dev_express;04/05/2022;1;1;7230822;50-59 ans;non;non;oui;20000-29999;280-300;41400
M;Masters;Private;Pickup;Highly Urban/ Urban;dev_integral;05/05/2022;2;15;7716066;Moins de 18 ans;non;non;non;140000-149999;320-340;38490
F;Masters;Private;Sports Car;Highly Urban/ Urban;dev_express;14/03/2022;7;18;5002448;Moins de 18 ans;oui;oui;non;80000-89999;260-280;24000
M;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_express;13/02/2022;2;12;2797390;80 et plus;non;non;non;70000-79999;240-260;18570
M;Masters;Private;Minivan;z_Highly Rural/ Rural;dev_integral;27/03/2022;0;17;9386250;80 et plus;non;non;oui;30000-39999;300-320;19100
F;z_High School;Private;Sports Car;Highly Urban/ Urban;dev_integral;02/02/2022;0;1;1353993;50-59 ans;non;non;non;60000-69999;300-320;59620
F;Masters;Commercial;Panel Truck;z_Highly Rural/ Rural;dev_integral;22/05/2022;0;14;2119146;80 et plus;oui;oui;oui;70000-79999;300-320;39000
M;Bachelors;Private;Sports Car;Highly Urban/ Urban;dev_integral;03/02/2022;2;9;9316993;60-69 ans;non;non;non;30000-39999;280-300;95490
M;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_express;17/04/2022;3;7;7773369;18-29 ans;non;non;non;30000-39999;240-260;20000
F;PhD;Private;Sports Car;Highly Urban/ Urban;dev_integral;30/01/2022;0;9;6992323;60-69 ans;non;non;non;60000-69999;280-300;78700
